SMILES,Docked_SMILES,Score
COC(=O)CCC=C=CC[C@H]1[C@@H]([C@H](CC1=O)O)/C=C/[C@@H](COC2=CC=CC=C2)O,COC(=O)CCC=C=CC[C@@H]1C(=O)C[C@H](O)[C@H]1/C=C/[C@H](O)COc1ccccc1,-8
CCC(C1=CC=CC=C1)C2=NOC(=N2)CCN(CC)CC,CCC(c1ccccc1)c1noc(CCN(CC)CC)n1,-6.8
CC(C)(COC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O)N(C)C,CN(C)C(C)(C)COC(=O)C(O)(c1ccccc1)c1ccccc1,-6.9
C1=CC=C(C=C1)N2C(=O)C3C=NC4=CC=CC=C4C3=N2,O=C1C2C=Nc3ccccc3C2=NN1c1ccccc1,-8.2
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(CC5=C(C4)ON=C5)C,C[C@]12Cc3cnoc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,-7.7
C/C=C/C[C@H](C)C[C@H](C)/C(=C/1\C(=O)[C@@H](NC1=O)[C@H](C2=CC=C(C=C2)O)O)/O,C/C=C/C[C@H](C)C[C@H](C)/C(O)=C1/C(=O)N[C@@H]([C@@H](O)c2ccc(O)cc2)C1=O,-7.5
CC1(CC[C@@H]2C[C@H](C[C@H]1N2C)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)C,CN1[C@@H]2CCC(C)(C)[C@H]1C[C@H](OC(=O)C(O)(c1cccs1)c1cccs1)C2,-7.9
COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)Cl,COCCCC/C(=N/OCCN)c1ccc(Cl)cc1,-5.6
CN1C[C@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CO,CN1C[C@@H](CO)C=C2c3cccc4[nH]cc(c34)C[C@H]21,-7.7
C[C@H]1[C@H]2CC3=C([C@@]1(CCN2CC=C)C)C=C(C=C3)O,C=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,-6.8
COC(=O)CCC=C=CC[C@@H]1[C@H]([C@@H](CC1=O)O)C=C[C@H](COC2=CC=CC=C2)O,COC(=O)CCC=C=CC[C@H]1C(=O)C[C@@H](O)[C@@H]1C=C[C@@H](O)COc1ccccc1,-7
COC(=O)CCC=C=CC[C@@H]1[C@H]([C@@H](CC1=O)O)/C=C/C(COC2=CC=CC=C2)O,COC(=O)CCC=C=CC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/C(O)COc1ccccc1,-7.7
COC(=O)CCC=C=CC[C@H]1[C@@H]([C@H](CC1=O)O)/C=C\[C@H](COC2=CC=CC=C2)O,COC(=O)CCC=C=CC[C@@H]1C(=O)C[C@H](O)[C@H]1/C=C\[C@@H](O)COc1ccccc1,-7
COC(=O)CCC=C=CCC1C(C(CC1=O)O)/C=C/C(COC2=CC=CC=C2)O,COC(=O)CCC=C=CCC1C(=O)CC(O)C1/C=C/C(O)COc1ccccc1,-8.2
CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C(=O)C5CC5)C,CCN(CC)C(=O)[C@@H]1C=C2c3cccc4c3c(cn4C(=O)C3CC3)C[C@H]2N(C)C1,-7.7
CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=C(N4[C@](C2)(C(=O)OC)O)C=C(C=C5)Br,CC[C@]12CCCN3CCc4c(n(c5cc(Br)ccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,-7.8
C1CN(C(=N1)NC2=C(C=CC=C2Cl)Cl)C(=O)C3=CC=CC=C3,O=C(c1ccccc1)N1CCN=C1Nc1c(Cl)cccc1Cl,-7.8
CC1=C(C(=O)C(=C(C1=O)C)C2=CC=CC(=C2)CCCCCCC(=O)O)C,CC1=C(C)C(=O)C(c2cccc(CCCCCCC(=O)O)c2)=C(C)C1=O,-9.5
CCCC1(C2=C(CCO1)C3=CC=CC=C3N2)CC(=O)O,CCCC1(CC(=O)O)OCCc2c1[nH]c1ccccc21,-7.2
CC(C)C(C(=O)O)N1C(=O)/C(=C\C2=CC=C(C=C2)Br)/SC1=S,CC(C)C(C(=O)O)N1C(=O)/C(=C\c2ccc(Br)cc2)SC1=S,-6.9
C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,O=C(N[C@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,-8.5
CC1=C(C(=O)OC2=C1C=CC(=C2)OCCCN3CCN(CC3)CC4=CC=C(C=C4)Cl)C,Cc1c(C)c2ccc(OCCCN3CCN(Cc4ccc(Cl)cc4)CC3)cc2oc1=O,-7.8
CC(C)(C)C1=CC2=C(C(=C1)C(C)(C)C)OC(=CC2=O)C(=O)O,CC(C)(C)c1cc(C(C)(C)C)c2oc(C(=O)O)cc(=O)c2c1,-7.3
CN(C1=C(C=C(C=C1)Cl)C(=O)C2=CC=CC=C2Cl)C(=O)CNC(=O)CN,CN(C(=O)CNC(=O)CN)c1ccc(Cl)cc1C(=O)c1ccccc1Cl,-7.7
