SMILES,Docked_SMILES,Score
C[C@H]1CC2C3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-8.3
CC1=C(C(=NO1)C)C2=CC(=C(C=C2)OCCN3CCNCC3)S(=O)(=O)NC4CCCC4,Cc1noc(C)c1-c1ccc(OCCN2CCNCC2)c(S(=O)(=O)NC2CCCC2)c1,-8.0
C1CNCC(OC1)C(=O)NC(CC2=CC=C(C=C2)C3=NC=C(C=N3)C(F)(F)F)C#N,N#CC(Cc1ccc(-c2ncc(C(F)(F)F)cn2)cc1)NC(=O)C1CNCCCO1,-7.8
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)O)C)O)F)C,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-8.2
C1CNCC(OC1)C(=O)NC(CC2=CC=C(C=C2)C3=CC4=C(C=C3)OC(=O)N4CC(F)F)C#N,N#CC(Cc1ccc(-c2ccc3oc(=O)n(CC(F)F)c3c2)cc1)NC(=O)C1CNCCCO1,-7.7
C1CC2=CC=CC=C2C1NC3=C4C=CN(C4=NC=N3)C5CC(C(C5)O)COS(=O)(=O)N,NS(=O)(=O)OCC1CC(n2ccc3c(NC4CCc5ccccc54)ncnc32)CC1O,-10.2
CC(=O)C1=CC(=CC=C1)NC(=O)CN2CCN(CC2)S(=O)(=O)/C=C/C3=CC=CC=C3,CC(=O)c1cccc(NC(=O)CN2CCN(S(=O)(=O)/C=C/c3ccccc3)CC2)c1,-7.8
C[C@@H](CNS(=O)(=O)C)C1=CC=C(C=C1)C2=CC=C(C=C2)[C@@H](C)CNS(=O)(=O)C,C[C@@H](CNS(C)(=O)=O)c1ccc(-c2ccc([C@@H](C)CNS(C)(=O)=O)cc2)cc1,-7.4
CC1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)N3CCN(CC3)C(=O)C,CC(=O)N1CCN(C(=O)c2cccc(S(=O)(=O)Nc3ccc(C)cc3)c2)CC1,-8.6
CC1C2C=CC3(CO3)C(O2)(OC1C(C)C=C(C)C=CC(=C4C(=O)CNC4=O)O)C,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C=CC23CO3)C1C,-8.9
CCOC1=CC(=C(C(=C1)OC2CCOC2)F)C(C(=O)O)NC3=CC=C(C=C3)C(=N)N,CCOc1cc(OC2CCOC2)c(F)c(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,-7.3
CC1(C(C(C2=C(O1)C=CC(=C2)S(=O)(=O)C3=CC=CC=C3)N4CCCC4=O)O)C,CC1(C)Oc2ccc(S(=O)(=O)c3ccccc3)cc2C(N2CCCC2=O)C1O,-8.3
CCOC1=C(C=CC(=C1)/C=C\2/C(=O)N(C(=S)N2)C3=C(N(N(C3=O)C4=CC=CC=C4)C)C)O,CCOc1cc(/C=C2\NC(=S)N(c3c(C)n(C)n(-c4ccccc4)c3=O)C2=O)ccc1O,-8.0
C1COC(C(N1)C2=CN=C(C=C2)Cl)OC3=CC(=C(C=C3F)S(=O)(=O)NC4=NC=NS4)F,O=S(=O)(Nc1ncns1)c1cc(F)c(OC2OCCNC2c2ccc(Cl)nc2)cc1F,-8.7
C=CCN\1C(=O)/C(=C/C2=CC=C(C=C2)Cl)/S/C1=C(\C#N)/C3=NN=C4N3CCCCC4,C=CCn1c(=O)/c(=C/c2ccc(Cl)cc2)s/c1=C(\C#N)c1nnc2n1CCCCC2,-7.1
C1CNC(=O)C(N(C1)C(=O)C[C@@H](CC2=CC(=C(C=C2F)F)F)N)CC(F)(F)F,N[C@@H](CC(=O)N1CCCNC(=O)C1CC(F)(F)F)Cc1cc(F)c(F)cc1F,-8.1
C1COCCN1S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NC4=CC=CC=C4S3,O=C(Nc1nc2ccccc2s1)c1ccc(S(=O)(=O)N2CCOCC2)cc1,-8.0
C[C@@H]1CC2C3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)S)O)C)O)F)C)F,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)S,-7.6
C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)OCC3=CC=CC=C3)O,C[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)[C@@H](C)O,-8.1
CC(C)(C(C(=O)O)NC(=O)C1=NN(C2=CC=CC=C21)CC3CCCCC3)C(=O)O,CC(C)(C(=O)O)C(NC(=O)c1nn(CC2CCCCC2)c2ccccc12)C(=O)O,-8.1
COC1=C(C=C(C=C1)CNC2=C(C(=O)NN=C2)Cl)OCC(=O)N3CCN(CC3)CC4=CC=CC=C4,COc1ccc(CNc2cn[nH]c(=O)c2Cl)cc1OCC(=O)N1CCN(Cc2ccccc2)CC1,-8.1
CC1=CN=C2N1C3=C(C=C(S3)C4=CC=CC(=C4)CNS(=O)(=O)N)N=C2NC,CNc1nc2cc(-c3cccc(CNS(N)(=O)=O)c3)sc2n2c(C)cnc12,-10.2
C1CN(CCN1CC(COC2=CC=CC=C2C(=O)C3=CC=CC=C3)O)C4=CC=CC5=C4OC(=O)N5,O=C(c1ccccc1)c1ccccc1OCC(O)CN1CCN(c2cccc3[nH]c(=O)oc23)CC1,-8.8
C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N2CC[C@@H]3[C@H]2[C@H](CN3)C4=CNC5=C4C=CC(=C5)F)NC,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2NC[C@H](c3c[nH]c4cc(F)ccc34)[C@H]21)C1CCCCC1,-8.4
C[C@H]1C=C[C@H]2CN(C(=O)[C@@H]2[C@@H]1C(=O)N3CCC[C@H]3C#N)NC(=O)OCC4=CC=CC=C4,C[C@H]1C=C[C@H]2CN(NC(=O)OCc3ccccc3)C(=O)[C@@H]2[C@@H]1C(=O)N1CCC[C@H]1C#N,-8.6
COC1=CC=CC=C1NS(=O)(=O)C2=CC=CC(=C2)C(=O)NNC(=O)C3=CN=C(C=C3)Cl,COc1ccccc1NS(=O)(=O)c1cccc(C(=O)NNC(=O)c2ccc(Cl)nc2)c1,-8.8
CC1=NC(=C2C(=N1)N(C=N2)C3CCN(CC3)CC4=CC=C(C=C4)S(=O)(=O)F)N,Cc1nc(N)c2ncn(C3CCN(Cc4ccc(S(=O)(=O)F)cc4)CC3)c2n1,-9.1
COC(=O)C1=CC=CC=C1NC(=O)CSC2=NC(=CC(=O)N2C3CCCC3)O,COC(=O)c1ccccc1NC(=O)CSc1nc(O)cc(=O)n1C1CCCC1,-8.2
C1CC(OC1)CNC(=O)CSC2=NC3=C(C(=O)N2C4=CC=C(C=C4)Cl)SCC3,O=C(CSc1nc2c(c(=O)n1-c1ccc(Cl)cc1)SCC2)NCC1CCCO1,-8.0
CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@@H](C5=CC(=O)CC[C@@]5([C@]4([C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)F)C)F,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-8.1
CC(C)(C)OC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)/C=C/C(F)(F)F,CC(C)(C)OC(=O)N1CCN(S(=O)(=O)c2ccc(NC(=O)/C=C/C(F)(F)F)cc2)CC1,-7.5
C[C@@H](C(=O)N[C@H]1CC2=CC=CC=C2[C@H]3CC[C@H](N3C1=O)C(=O)N[C@@H]4CCCC5=CC=CC=C45)NC,CN[C@@H](C)C(=O)N[C@H]1Cc2ccccc2[C@H]2CC[C@@H](C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,-8.2
CC1=NC2=C(N1C)C=C(C=C2)N(C)C3=NC(=NC=C3)NC4=CC(=CC=C4)S(=O)(=O)N,Cc1nc2ccc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)cc2n1C,-9.6
CN1C=C2C=CC(=CC2=N1)N(C)C3=NC(=NC=C3)NC4=CC(=CC=C4)S(=O)(=O)N,CN(c1ccc2cn(C)nc2c1)c1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,-8.9
C[C@]12C[C@H]([C@@]3([C@H]([C@@H]1C[C@@H]4[C@@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@]4(F)[C@H](O)C[C@]3(C)[C@@]2(C(=O)CO)O1,-8.3
C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1CNC(=O)C2=CC=CC3=CC=CC=C32)C(C)(C)C)NC,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1CNC(=O)c1cccc2ccccc12)C(C)(C)C,-7.8
CC1=C(C=C(C(=O)N1)C#N)C2=CC=C(C=C2)OCC(CN3CCN(CC3)C4=CC=CC=C4OC)O,COc1ccccc1N1CCN(CC(O)COc2ccc(-c3cc(C#N)c(=O)[nH]c3C)cc2)CC1,-8.1
COC(=O)C(CC1=CC=C(C=C1)C#CC2=CC=CC=C2)NC(=O)CC3CCCN(C3)C(=N)N,COC(=O)C(Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CC1CCCN(C(=N)N)C1,-9.1
CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCN(CC3)CC4=CC=C(O4)[N+](=O)[O-])F,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)c(F)c2)C(=O)O1,-7.5
C1CN(CC1F)C(=O)CN2CCN(C2=O)C3=CC=CC4=C3C=NN4C5=CC=CC=C5F,O=C(CN1CCN(c2cccc3c2cnn3-c2ccccc2F)C1=O)N1CCC(F)C1,-8.3
CCOC(=O)/C=C/C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)OCC3=CC=CC=C3,CCOC(=O)/C=C/c1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)cc1,-7.3
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NC3=NC(=CS3)C4=C(C=C(C=C4)Cl)Cl,Cn1c(=O)c2c(ncn2CC(=O)Nc2nc(-c3ccc(Cl)cc3Cl)cs2)n(C)c1=O,-8.0
